run_id,timestamp,tournament_phase,simulation_count,known_remaining_matchups,live_model_predictions_available,live_model_exact,live_model_reversed,model_exact,model_reversed,elo_fallback,neutral_fallback,total_simulated_decisions,model_driven_pct,fallback_pct
2026-07-10T005016Z-45d1f982,2026-07-10T00:50:39+00:00,quarterfinal,1000,3,3,3000,0,0,55,2945,0,7000,0.436429,0.420714
2026-07-10T005157Z-393300fa,2026-07-10T00:52:21+00:00,quarterfinal,1000,3,3,3000,0,0,55,2945,0,7000,0.436429,0.420714
2026-07-10T005233Z-e7ef2b43,2026-07-10T00:52:54+00:00,quarterfinal,1000,3,3,3000,0,0,55,2945,0,7000,0.436429,0.420714
2026-07-10T005321Z-40acadb7,2026-07-10T00:54:35+00:00,quarterfinal,10000,3,3,30000,0,0,490,29510,0,70000,0.435571,0.421571
2026-07-10T005454Z-caf80429,2026-07-10T00:55:19+00:00,quarterfinal,1000,3,3,3000,0,0,55,2945,0,7000,0.436429,0.420714
2026-07-10T060556Z-428e59f3,2026-07-10T06:08:19+00:00,quarterfinal,10000,3,3,30000,0,0,490,29510,0,70000,0.435571,0.421571
2026-07-10T065046Z-a7edab47,2026-07-10T06:52:42+00:00,quarterfinal,10000,3,3,30000,0,0,490,29510,0,70000,0.435571,0.421571
2026-07-11T000104Z-9ca35133,2026-07-11T00:02:43+00:00,quarterfinal,10000,3,3,30000,0,0,438,19562,0,70000,0.434829,0.279457
2026-07-14T210550Z-f6872a12,2026-07-14T21:07:08+00:00,semifinal,10000,1,1,10000,0,0,0,10000,0,30000,0.333333,0.333333
2026-07-14T235611Z-10c659fc,2026-07-14T23:57:46+00:00,semifinal,10000,1,1,10000,0,0,0,10000,0,30000,0.333333,0.333333
